S.No.,Date,Category,Short Title of Work Done,Detailed Description,Status,Branch / Repo
1,2026-09-01,Keynote Speakers,"Add Dr. Peter Kamau, CPA-K to AIFORGE 2026","Added Dr. Peter Kamau, CPA-K (Founder & CEO — PETKAM Solutions Ltd, Government Consultant — Ministry of Labour, Kenya) as Keynote Speaker with official portrait.",Completed,main (Kddee/conference-hubbb)
2,2026-09-01,Keynote Speakers,Add Prof. Jaco Visagie to AIFORGE 2026,"Added Prof. Jaco Visagie (Professor of Statistics, North-West University, South Africa) as Keynote Speaker with official portrait.",Completed,main (Kddee/conference-hubbb)
3,2026-09-01,Keynote Speakers,Add Dr. Dina Alkhodary to AIFORGE 2026,"Added Dr. Dina Alkhodary (Associate Professor of Business Administration, Middle East University, Jordan) as Keynote Speaker with official portrait.",Completed,main (Kddee/conference-hubbb)
4,2026-09-01,Keynote Speakers,Add Mayank Atreya to AIFORGE 2026,"Added Mayank Atreya (Technology & Engineering Leader, Enterprise Architecture & AI/ML, USA) as Keynote Speaker with official portrait.",Completed,main (Kddee/conference-hubbb)
5,2026-09-01,Awards & Recognition,Revamp Awards & Recognition Section in Graphical Design,"Redesigned Awards & Recognition with 5 official awards (Global Innovation Excellence, Industry Leadership, Research Impact, Emerging Professional, Outstanding Presentation) using 3D glow cards.",Completed,main (Kddee/conference-hubbb)
6,2026-09-01,Keynote Speakers,Remove Speaker Palesa Mosiea from AIFORGE 2026,Removed Palesa Mosiea from AIFORGE 2026 conference speaker list and central dataset as requested.,Completed,main (Kddee/conference-hubbb)
7,2026-09-01,Keynote Speakers,Add Parikshit Sahagal to AIFORGE 2026,"Added Parikshit Sahagal (Technical Project Manager, CoStar Group Inc, USA) as Keynote Speaker with official portrait, positioned between Dr. Peter Kamau and Jaco Visagie.",Completed,main (Kddee/conference-hubbb)
8,2026-09-02,Keynote Speakers,"Add Piyush Shukla, Dr. Eka Devidze & Assoc. Prof. Dr. Muliati Hj. Sedek to AIFORGE 2026","Added Piyush Shukla (Technology & Engineering Leader, USA), Dr. Eka Devidze (Affiliated Professor, The University of Georgia, Georgia), and Assoc. Prof. Dr. Muliati Hj. Sedek (Deputy Director CAES, UTeM Malaysia) to AIFORGE 2026 with official portraits.",Completed,main (Kddee/conference-hubbb)
9,2026-09-02,Invited Speakers,Add Assoc. Prof. Ts. Dr. Noor Suhana Binti Sulaiman to AIFORGE 2026,"Added Assoc. Prof. Ts. Dr. Noor Suhana Binti Sulaiman (Dean, Research & Postgraduate Management, University College TATI, Malaysia) as Invited Speaker.",Completed,main (Kddee/conference-hubbb)
10,2026-09-03,Invited Speakers,"Add Sandeep Kumar Khandelwal & Prof. Rehab Hegazy, PhD to AIFORGE 2026","Added Sandeep Kumar Khandelwal (AI, DevOps & Cloud Computing Expert, USA) and Prof. Rehab Hegazy, PhD (Professor of Pharmacology & Secretary-General, NRC Egypt) as Invited Speakers.",Completed,main (Kddee/conference-hubbb)
11,2026-09-03,Invited Speakers,Add Prof. Intakhab Alam Khan & Osman ARAYICI to AIFORGE 2026,"Added Prof. Intakhab Alam Khan (King Abdulaziz University, Saudi Arabia & Samarkand State University) and Osman ARAYICI (Mimar Sinan Fine Arts University / Modoko Academy, Turkey) as Invited Speakers.",Completed,main (Kddee/conference-hubbb)
12,2026-09-03,Keynote Speakers,"Add Swarnabindu Roy, Payal R. & Dr. Carolina Barandiaran to AIFORGE 2026","Added Swarnabindu Roy (Data Engineering & Program Management, USA), Payal R. (Senior Data Engineer, ETL Pipelines, USA), and Dr. Carolina Barandiaran (Academic Leader & Researcher, Argentina) as Keynote Speakers.",Completed,main (Kddee/conference-hubbb)
13,2026-09-03,Advisory Board,Move 4 Speakers to Advisory Board Members in AIFORGE 2026,"Moved Marghescu Cristina-Florentina, Nadine Zeinoun, Dr. Mbombi Khizamane, and Dr. Tintin Flores from Speakers section to Advisory Board Members section with Advisory Board Member title.",Completed,main (Kddee/conference-hubbb)
14,2026-09-03,Publications / Keynote,Update Swarnabindu Roy Photo & Remove IIP from Publications,Updated Swarnabindu Roy's portrait photo to executive boardroom portrait and removed Iterative International Publishers (IIP) from AIFORGE 2026 Publications section.,Completed,main (Kddee/conference-hubbb)
